timestamp,video_time_sec,total_bees_in_frame,bees_in_entrance,smoothed_entrance_count,congested
2026-09-19 13:59:04,0.0,9,6,6.0,True
2026-09-19 13:59:10,5.0,13,6,5.22,True
2026-09-19 13:59:15,10.0,11,4,4.6,True
2026-09-19 13:59:21,15.0,8,3,1.46,False
2026-09-19 13:59:27,20.0,9,4,3.88,False
2026-09-19 13:59:33,25.0,9,3,3.72,False
2026-09-19 13:59:39,30.0,6,2,3.12,True
2026-09-19 13:59:45,35.0,9,3,4.3,False
2026-09-19 13:59:50,40.0,10,2,3.06,True
2026-09-19 13:59:56,45.0,9,4,3.8,True
2026-09-19 14:00:03,50.0,16,7,5.64,True
2026-09-19 14:00:09,55.0,5,2,0.74,False
2026-09-19 14:00:14,60.0,14,4,3.26,False
2026-09-19 14:00:20,65.0,11,7,4.34,True
2026-09-19 14:00:26,70.0,6,3,3.14,True
