epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,139.486,1.9445,1.66903,1.33524,0.75925,0.65215,0.7177,0.33938,1.74386,1.3292,1.207,0.00998693,0.00332898,0.00998693,0.00332898,0.00998693,0.00332898,0.00998693,0.00332898
2,269.427,1.85957,1.22365,1.25737,0.74045,0.61114,0.69189,0.33227,1.76549,1.20535,1.20893,0.0197891,0.00659635,0.0197891,0.00659635,0.0197891,0.00659635,0.0197891,0.00659635
3,398.019,1.88953,1.2179,1.28873,0.71923,0.58713,0.66285,0.29584,1.89631,1.48097,1.29776,0.0293932,0.00979773,0.0293932,0.00979773,0.0293932,0.00979773,0.0293932,0.00979773
4,525.881,1.90465,1.2079,1.3012,0.72444,0.58078,0.67138,0.31692,1.81787,1.23877,1.24233,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,644.197,1.83676,1.11756,1.27993,0.77642,0.66873,0.74474,0.36828,1.70703,1.06791,1.20797,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,762.914,1.81043,1.06475,1.2531,0.76831,0.6695,0.7397,0.36355,1.70934,1.04386,1.19642,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,880.552,1.7698,1.01433,1.23244,0.79105,0.7028,0.78082,0.39389,1.65281,0.99011,1.17864,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,997.92,1.73592,0.98356,1.22348,0.8396,0.73045,0.82646,0.43321,1.59182,0.88297,1.14615,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1117.75,1.72337,0.95904,1.20904,0.8338,0.74674,0.83007,0.43447,1.56835,0.88453,1.14149,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1235.21,1.69646,0.93502,1.20493,0.84147,0.7382,0.83111,0.45053,1.53088,0.83951,1.11712,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
